,wifi,mobile_net
Point 1,60,103
Point 2,91,116
Point 3,42,112
Point 4,86,109
Point 5,73,120
Point 6,81,121
Point 7,77,119
Point 8,50,106
Point 9,38,115
Point 10,56,106
