,wifi,mobile_net
Point 1,74,107
Point 2,47,105
Point 3,76,103
Point 4,67,113
Point 5,71,104
Point 6,61,112
Point 7,75,122
Point 8,67,108
Point 9,50,118
Point 10,80,113
Point 11,65,112
Point 12,58,109
