,wifi,mobile_net
Point 1,58,101
Point 2,90,113
Point 3,41,109
Point 4,85,106
Point 5,72,118
Point 6,80,119
Point 7,76,117
Point 8,49,104
Point 9,37,113
Point 10,55,104
